Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
9.04,3.95,2.02,0.349,A7III,17.022985,0
6.48,5.18,1.26,0.873,G5III,15.051649,0
8.26,1.8,0.64,-0.019,B8III,14.536363,0
7.23,2.57,0.83,1.446,K2/K3III,14.279665,0
8.05,3.83,1.41,1.532,K5III,15.965994,0
8.91,4.75,0.74,0.474,F0/F2IV,17.293468,1
7.7,27.28,0.96,0.691,G5V,19.879223,1
9.31,3.19,1.67,0.571,F7V,16.828955,1
8.45,2.36,1.07,0.96,K0IIICNpvar,15.31456,0
6.79,6.75,0.55,0.066,A2V,15.936519,1
11.28,46.25,2.12,1.356,M2V:,24.605558,1
7.77,1.83,0.67,1.334,K3III,14.082256,0
8.51,5.32,1.07,0.677,F5V,17.139559,1
9.01,0.72,1.18,1.705,M1III:,13.296663,0
8.65,2.09,1.02,1.449,M5/M6III,15.250731,0
6.94,2.7,1.11,1.76,K3III,14.096819,0
6.21,81.69,0.83,0.84,K1V,20.770844,1
9.82,9.92,1.54,0.495,F2/F3V,19.802559,1
8.16,1.5,1.09,0.723,K0/K1III+..,14.040456,0
9.4,2.86,1.1,1.191,K2III:,16.68183,0
9.14,6.87,1.31,0.502,F6V,18.324783,1
6.61,4.12,0.84,1.426,K4III,14.684486,0
6.75,8.41,0.68,0.444,F3/F5IV,16.37398,1
8.33,0.54,1.91,0.465,B0Ia...,11.991968,0
8.44,2.53,1.18,0.23,B1Vnne,15.455603,1
9.57,8.4,1.44,0.755,G8V,19.191395,1
7.68,5.54,0.79,0.036,A0V,16.397549,1
9.09,1.84,1.22,1.083,G6III:,15.414089,0
4.61,17.11,0.77,0.928,K0III SB,15.776251,0
7.49,5.33,1.12,1.15,K1II-III,16.123636,0
7.15,8.96,0.81,1.126,K1III,16.91154,0
7.24,18.22,0.58,0.551,F7V,18.542742,1
6.91,3.63,0.94,1.377,M4IIIvar,14.709534,0
4.88,66.28,0.48,0.481,F6Vvar,18.986912,1
7.3,6.06,0.86,1.039,K0III,16.212364,0
8.1,9.11,0.98,0.285,A6III,17.897593,0
7.93,13.17,0.82,0.532,F6V,18.52793,1
8.58,1.11,1.12,1.541,K3III,13.806615,0
5.94,57.58,0.77,0.615,G3V,19.741358,1
7.96,4.85,0.95,1.061,K0III,16.388708,0
7.72,6.24,0.98,0.42,F2/F3III,16.695923,0
7.64,2.56,0.88,1.006,K0III,14.6812,0
5.78,5.06,0.85,1.14,K1III:,14.300753,0
6.14,6.23,0.8,0.961,G8III,15.11244,0
5.63,4.26,0.96,0.104,B1V,13.777048,1
9.08,1.96,1.45,0.03,B2III,15.541281,0
7.85,4.43,0.88,0.047,A1V(m),16.08202,1
5.17,24.64,0.49,0.928,K0III,17.128204,0
6.61,4.19,0.74,1.645,M0III,14.721071,0
7.13,4.3,1.01,0.152,A0IV,15.297342,1
8.96,2.36,0.82,1.051,K1/K2III,15.82456,0
7.72,11.33,0.62,0.473,F3V,17.99115,1
6.08,5.99,0.86,1.608,K2.5Ib,14.967134,0
8.02,4.27,1.16,1.51,K3III,16.17214,0
4.16,54.06,0.95,0.32,F0V...,17.824379,1
7.64,2.61,0.99,1.662,K5III,14.723202,0
8.81,1.87,1.23,1.176,K1/K2III,15.169209,0
5.72,4.51,0.84,1.372,K2III,13.990883,0
7.36,3.47,0.92,-0.141,B2III,15.061647,0
5.78,36.65,0.73,0.572,F8V,18.60037,1
8.96,1.96,1.12,0.068,A1V,15.421281,1
9.15,11.57,1.27,0.612,G8IV:+...,19.466667,1
6.59,0.27,0.92,1.07,G1Ib,8.746819,0
7.92,23.06,0.96,0.709,G8/K0V,19.734297,1
8.36,14.46,1.0,0.634,G1V,19.16084,1
5.81,3.83,0.51,-0.055,B8V,13.725994,1
8.67,0.25,1.25,0.113,B9III,10.6597,0
8.76,1.42,0.89,1.498,K3III,14.521442,0
7.69,17.8,0.64,0.722,G5V,18.9421,1
9.99,19.35,1.79,1.05,K4V,21.423405,1
8.72,0.59,1.19,1.028,G8III,12.574261,0
7.57,10.89,0.87,0.484,F5V,17.755138,1
8.22,4.7,0.83,0.02,B9V,16.58049,1
5.58,10.01,0.85,1.011,K0III,15.58217,0
8.89,1.99,1.71,0.551,F3V,15.384266,1
8.64,7.3,2.04,0.909,K0III,17.956615,0
8.99,7.69,1.31,0.567,G2V,18.419632,1
6.93,4.29,0.83,0.94,G8III/IV,15.092287,1
8.93,1.08,1.26,1.179,K3III,14.097119,0
9.39,-2.11,1.27,-0.036,B9II,16.011414,0
8.55,3.35,0.76,1.184,K1III,16.175224,0
8.03,0.97,1.12,1.445,K3III,12.963859,0
6.79,1.48,0.74,-0.173,B3V,12.641309,1
8.25,10.2,0.95,0.427,F3V,18.293001,1
9.83,8.91,1.63,0.711,G3V,19.579388,1
8.47,8.01,1.19,0.385,F2V,17.988163,1
5.41,22.21,0.86,0.238,A6IV,17.142742,1
8.75,0.74,1.22,1.222,K1III,13.096159,0
5.07,6.43,0.79,-0.055,B8III,14.111055,0
7.93,0.26,1.14,1.47,K3III,10.004867,0
8.61,3.6,1.17,1.487,M3III,16.391512,0
8.34,1.26,0.92,1.53,K4/K5III,13.841852,0
7.06,6.2,0.87,1.091,K0III,16.021957,0
8.18,1.93,1.2,0.893,G8/K0III+..,14.607786,0
9.67,6.27,0.99,0.474,F5V,18.656338,1
5.6,6.35,1.01,-0.118,B3V,14.613869,1
8.49,4.93,1.09,0.933,K0IV,16.954235,1
7.87,3.96,1.04,1.047,K0III,15.858477,0
2.29,8.12,0.88,-0.117,B0.2IV,11.83778,1
9.19,3.04,1.92,0.8,G0V,16.604366,1
11.2,1.71,2.55,0.545,F4III,17.36498,0
5.75,0.81,0.64,0.295,B9Ia,10.292425,0
6.01,8.61,0.74,0.162,A4IV,15.685016,1
9.15,3.32,1.34,1.451,K2/K3III:,16.75569,0
7.11,3.45,0.58,1.567,K5III,14.799095,0
8.22,3.59,1.12,1.142,K0III,15.995473,0
7.22,14.42,0.76,0.522,F6V,18.014826,1
6.0,34.84,0.83,0.572,F8V,18.71039,1
9.48,4.5,1.58,0.529,F6V,17.746063,1
8.16,2.61,0.78,-0.018,B9V,15.243202,1
9.51,7.03,3.26,0.684,G3V,18.744778,1
6.35,7.97,1.12,-0.061,A0Vn,15.857292,1
8.69,3.63,1.08,1.072,K2/K3III:,16.489532,0
8.41,10.88,2.63,0.594,G5V,18.593143,1
8.37,3.69,1.09,0.051,B9.5/A0V,16.205132,1
7.75,2.83,1.05,1.406,M4/M5III,15.008932,0
8.81,7.54,1.11,0.385,F0V,18.196857,1
7.07,15.11,0.81,0.982,K1IV,17.966322,1
6.86,4.81,0.89,0.001,B8IV,15.270725,1
5.51,5.99,0.58,-0.06,B9Vn,14.397135,1
6.74,0.23,0.74,0.469,F2Ib-II,8.548639,0
8.99,1.76,1.19,1.249,K1/K2III:,15.217564,0
7.52,2.7,0.73,1.497,K4III,14.676819,0
8.3,1.08,0.73,1.064,K0III,13.467119,0
8.46,3.22,0.7,0.987,K0III,15.999279,0
8.83,12.35,1.15,0.551,F8V,19.288334,1
7.66,20.41,0.98,0.554,G0V,19.209215,1
9.6,9.16,1.55,0.673,G3V,19.409477,1
9.63,5.96,2.02,0.509,F5V,18.506231,1
7.27,3.9,0.94,1.129,K2III,15.225323,0
4.42,10.5,0.52,1.17,K1II/III,14.525946,0
10.07,14.97,1.79,0.856,G8III/IV,20.94611,1
8.64,9.56,1.18,0.528,F6V,18.54229,1
8.22,3.08,0.94,1.101,K1III,15.662754,0
8.8,3.39,1.22,0.032,B9III/IV,16.451,1
10.03,16.57,1.36,0.978,K0/K1V,21.126612,1
9.9,21.47,1.58,1.11,K5V,21.559158,1
8.01,2.89,1.07,0.912,G8III/IV,15.314489,1
10.51,3.7,1.69,1.317,K3III,18.35101,0
7.64,5.62,1.52,0.5,F4V,16.388681,1
7.45,5.16,0.65,1.18,K2III-IV,16.013248,1
9.04,8.25,1.29,0.49,F5V,18.622269,1
8.64,7.55,1.14,0.291,F0V,18.029736,1
8.05,4.38,0.69,0.958,G8III,16.25737,0
7.06,5.13,0.88,0.255,A1IV,15.610586,1
5.45,8.79,0.69,0.991,K0III,15.169944,0
7.66,2.33,0.93,1.256,K0III,14.496779,0
8.94,1.46,1.24,1.053,K1IIICN...,14.761765,0
9.05,1.59,1.08,0.038,B2V,15.056986,1
7.99,1.25,0.7,1.459,K3III,13.47455,0
6.96,2.96,0.83,1.519,K3III,14.316459,0
9.13,5.65,1.0,0.456,F2V,17.890244,1
7.82,8.1,0.73,0.502,F6V,17.362425,1
8.58,-0.13,1.5,0.837,K2III+...,9.149716,0
9.21,5.67,1.47,0.547,F0V,17.977917,1
8.31,2.3,0.68,-0.002,A0V,15.118639,1
6.84,2.64,0.82,1.271,K2/K3III,13.94802,0
8.83,0.98,1.25,1.068,G8III/IV,13.786131,1
7.28,5.81,0.92,1.22,K0V,16.100882,1
8.06,5.15,1.24,1.454,K2III,16.619038,0
8.56,0.6,0.97,1.369,K2III,12.450757,0
9.23,2.97,0.88,0.372,F0III,16.59378,0
9.06,2.88,0.88,0.596,G1V,16.356964,1
7.42,2.33,0.77,0.051,B9III/IV,14.25678,1
8.53,3.33,1.08,1.299,K1/K2III,16.142221,0
8.81,3.69,0.86,1.192,K2II,16.645132,0
8.27,3.11,1.05,0.275,A6V,15.733803,1
8.6,4.54,1.09,0.412,F3IV/V,16.88528,1
6.42,-0.6,0.82,2.282,K0Ia,10.310757,0
7.66,7.72,0.99,1.155,K1III,17.098087,0
10.12,0.79,1.11,0.686,G5V,14.608135,1
9.22,3.21,1.67,1.807,K5III,16.752525,0
8.36,2.69,0.78,1.044,G8/K0III,15.508761,0
8.95,14.58,0.91,0.529,F8V,19.768787,1
7.57,2.59,1.1,1.322,K2III,14.636499,0
8.14,1.84,0.89,1.058,K0III,14.464089,0
8.14,5.84,1.15,0.124,B9V,16.972065,1
5.71,39.08,0.47,0.475,F7V,18.669773,1
8.68,1.55,0.81,1.342,K2III,14.631659,0
9.79,3.96,1.41,0.53,G0III,17.778477,0
4.85,8.74,0.62,1.26,K2.5III,14.557556,0
8.81,3.22,0.79,1.136,K2III,16.34928,0
9.08,4.73,1.34,0.798,G5IV,17.454306,1
8.68,3.14,1.9,-0.05,B7/B8V,16.164648,1
6.13,4.85,0.85,0.947,G8II/III,14.558708,0
8.28,5.82,1.28,0.902,G8III/IV,17.104614,1
8.29,2.3,1.03,0.993,G8Ib/II,15.098639,0
8.03,2.53,0.87,1.125,K0III,15.045603,0
8.13,5.83,0.72,0.518,F5IV,16.958344,1
9.03,9.58,1.24,0.598,F8V,18.936827,1
8.34,15.1,1.11,0.682,G5III,19.234886,0
9.78,4.12,1.95,0.381,F5V,17.854485,1
8.11,12.36,1.07,0.621,G2/G3V,18.570091,1
8.84,2.63,1.83,1.434,K2III,15.939779,0
5.62,10.39,0.44,0.938,G8III,15.703078,0
7.0,8.08,0.71,0.166,A4III/IV,16.537056,1
8.09,1.89,0.91,-0.05,B8II,14.472309,0
5.22,1.95,0.47,-0.151,B1V,11.670174,1
7.13,7.8,0.76,0.128,F0V,16.590473,1
8.65,4.03,1.03,1.158,K1III,16.676525,0
6.09,6.42,0.75,0.01,B9.5III/IV,15.127675,1
8.94,2.91,1.22,1.137,K2III,16.259464,0
11.25,5.2,2.16,0.533,G4III,19.830017,0
6.06,9.59,1.1,-0.032,A0V,15.969093,1
7.93,8.26,0.72,0.992,K0III,17.5149,0
7.16,3.79,1.01,1.141,G8III,15.053196,0
7.73,3.92,0.66,1.015,K0III,15.69643,0
7.75,2.73,0.91,1.399,K4III,14.930814,0
7.72,5.66,1.25,1.211,K0/K1III,16.484081,0
10.18,-3.17,3.58,0.105,B9.5V,17.685297,1
8.91,0.77,1.19,-0.011,B7II,13.342453,0
9.0,3.95,1.36,0.529,F5V,16.982986,1
9.73,2.77,1.04,0.46,F3/F5IV:,16.942398,1
8.84,0.01,1.28,1.086,F0II,3.8400002,0
6.15,8.64,0.53,0.997,G7III,15.832569,0
8.36,0.98,1.12,0.937,G8III/IV,13.31613,1
9.67,2.45,1.51,1.249,K1III,16.61583,0
9.05,5.27,1.35,0.26,A4IV/V,17.659054,1
9.0,2.25,0.81,1.205,M7III,15.760912,0
9.23,1.59,0.89,1.248,K2III,15.236985,0
8.74,3.3,1.26,1.122,K0II/III,16.33257,0
7.95,4.24,0.64,1.26,K2/K3III,16.08683,0
7.41,5.32,0.98,0.14,A0III,16.039558,0
8.23,2.93,1.17,1.158,K0III,15.564338,0
8.72,2.14,1.14,0.996,K0III,15.372069,0
8.71,9.85,1.27,0.555,F8V,18.677181,1
4.48,6.4,0.99,0.169,B5III + F8,13.5109005,0
9.48,0.22,1.75,1.061,G8/K0III,11.192113,0
8.36,1.44,1.05,1.71,M1III,14.151812,0
7.58,2.91,0.73,1.281,K3III,14.899465,0
8.36,3.28,1.28,1.4,G2II,15.939369,0
8.64,5.52,1.25,0.526,F5IV/V,17.349697,1
8.8,2.23,1.04,1.004,K1III,15.541525,0
6.68,2.14,0.81,1.52,K3III,13.332069,0
7.6,8.85,1.45,0.4,A5III/IV,17.334717,1
7.14,13.64,0.73,0.483,F5V,17.814072,1
7.82,3.06,0.84,0.221,A4/A5IV,15.248608,1
7.89,3.27,1.01,1.066,K1III,15.462739,0
6.44,10.35,0.72,1.114,K2III,16.514702,0
5.74,4.37,0.71,1.671,M0III,13.942408,0
9.52,9.2,1.21,0.444,F5V,19.33894,1
9.77,10.34,1.52,0.794,G8V,19.842604,1
7.28,1.28,0.81,2.015,M2Ia/ab,12.81605,0
8.4,15.3,0.76,0.599,G1V,19.323456,1
9.92,22.49,1.92,0.945,K3V,21.679947,1
7.77,0.94,0.92,-0.03,B9IV,12.635639,1
8.36,0.12,1.05,0.035,B2Ib,8.755906,0
5.76,3.36,0.93,-0.071,B9.5V,13.391697,1
7.89,10.76,1.15,0.506,F6V,18.04906,1
8.3,5.68,0.75,0.43,F5V,17.071743,1
6.33,9.43,0.76,1.113,K2III,16.202559,0
8.76,1.63,4.38,1.048,K0III,14.820938,0
5.83,8.98,0.5,0.121,A4V,15.596382,1
8.04,3.5,1.01,0.953,G8III,15.760341,0
6.69,3.38,0.56,1.58,K5III,14.334583,0
8.39,1.58,1.1,1.165,K0II/III,14.3832855,0
8.96,0.64,0.87,0.177,B9IV,12.9909,1
8.74,8.36,1.29,0.386,F3IV/V,18.351032,1
8.71,2.68,1.13,1.462,K3III,15.850674,0
8.75,4.38,0.88,1.24,G8/K0III,16.95737,0
9.37,5.25,1.22,0.979,K0III,17.970797,0
8.07,2.4,0.64,-0.054,B9II,14.971056,0
6.33,4.53,0.79,-0.077,B9III,14.610491,0
5.93,20.4,0.81,0.354,F3V,17.478151,1
7.1,1.86,0.59,1.273,K2III,13.447565,0
8.73,6.29,1.16,0.58,G2V,17.723251,1
9.09,6.84,1.37,0.343,A9V,18.265282,1
9.9,5.83,2.42,0.596,G2V,18.728344,1
8.56,7.19,2.71,0.521,F0/F2IV:,17.843645,1
5.83,5.68,1.09,0.743,K1III+...,14.601742,0
8.43,4.74,1.34,0.997,K0III,16.808891,0
8.59,5.19,1.31,1.007,G8IV,17.165836,1
8.73,2.07,1.02,1.315,K3III,15.309851,0
7.78,4.14,0.89,1.047,K0III,15.865002,0
8.85,4.84,0.91,1.054,K0III,17.274227,0
7.66,1.59,0.81,0.071,B2/B3II,13.6669855,0
8.96,2.68,0.93,1.424,K3III:,16.100674,0
7.49,3.6,0.98,0.1,K1III,15.271513,0
8.03,3.64,1.08,1.111,K0III,15.835506,0
6.35,16.82,0.94,0.957,K1III,17.47913,0
6.32,4.32,0.9,0.825,K0III+...,14.497419,0
9.03,3.94,1.13,0.219,A3V,17.00748,1
6.6,46.73,0.8,0.69,G5IV,19.947979,1
9.69,5.58,6.45,0.18,A1/A2V,18.423172,1
8.61,2.46,1.19,1.179,K0III,15.564675,0
8.74,6.16,0.78,0.45,F5V,17.687904,1
9.02,7.66,0.98,0.651,G2/G3V,18.441143,1
9.15,7.33,1.36,0.45,F5V,18.47552,1
9.07,5.18,1.26,0.496,F3V,17.641647,1
8.3,1.38,0.8,1.285,K2III,13.999395,0
9.19,5.2,1.37,0.534,F5V,17.770016,1
6.68,5.53,0.91,1.086,K0III,15.393625,0
7.36,1.59,0.96,-0.015,F5V,13.366985,1
8.22,0.94,1.03,1.541,K5III,13.08564,0
7.64,13.01,1.01,0.542,F7V+...,18.211386,1
6.94,2.91,0.51,0.062,A1IV,14.259464,1
8.06,6.35,1.31,1.009,K0III,17.073868,0
6.51,-0.17,0.59,0.255,B5Ia,7.662245,0
8.06,0.91,0.62,-0.042,B7III,12.855207,0
8.59,0.63,1.14,0.894,G5IIIwe,12.586702,0
8.75,6.75,1.12,0.453,F2V,17.896519,1
6.01,4.15,0.81,1.654,M1III,14.100241,0
7.17,4.25,0.84,1.599,M0III,15.311945,0
8.4,5.59,0.92,0.565,F0III,17.137058,0
6.34,4.11,0.59,1.517,K5Ib-II,14.409209,0
8.19,7.06,1.09,0.633,F8IV,17.434023,1
9.01,1.63,0.84,0.11,B8V,15.070938,1
5.7,12.76,0.8,0.303,F0V,16.229252,1
5.7,22.79,0.8,0.428,F5V,17.48872,1
5.93,37.01,0.58,0.493,F4V,18.771595,1
8.01,8.22,0.87,0.491,F3V,17.584358,1
7.52,3.61,0.9,0.96,K1III,15.307537,0
8.99,5.95,1.28,0.565,F7V,17.862583,1
8.69,3.0,0.83,1.321,K2III,16.075605,0
7.66,5.91,1.09,1.274,K2III,16.517937,0
7.16,2.26,0.67,0.08,B3V,13.930542,1
8.03,7.29,0.63,0.204,A4V,17.343637,1
6.46,21.19,1.05,0.326,F1III+...,18.090654,0
8.62,8.14,1.16,0.785,K0III,18.173122,0
7.2,4.44,0.87,1.125,K0III,15.436914,0
7.93,5.42,1.05,0.382,F1IV,16.599997,1
9.07,1.4,1.46,1.265,K1/K2III,14.80064,0
8.56,9.22,1.25,0.486,F5V,18.383656,1
8.0,2.51,1.2,0.249,B2V:pe,14.998368,1
8.8,23.58,1.09,0.995,K3V,20.66272,1
6.48,13.68,0.81,0.391,F3V,17.160429,1
7.64,2.7,0.64,1.429,K3/K4III,14.79682,0
5.74,9.28,0.65,0.135,A4III,15.57774,0
7.37,4.22,0.67,1.086,K3III,15.496562,0
8.27,1.77,0.96,1.093,G8III,14.509867,0
7.86,10.41,0.91,0.651,G2/G3IV,17.947254,1
9.23,5.4,1.79,0.36,F2IV/V,17.891968,1
6.43,13.9,0.81,0.242,A7III,17.145075,0
8.11,-0.28,0.97,-0.085,B4III,10.345789,0
6.21,3.63,0.75,-0.135,B5V,14.009534,1
8.69,3.95,1.53,1.694,K5/M0III,16.672985,0
7.14,3.74,1.1,0.318,A9V,15.004358,1
8.45,1.92,1.08,1.285,K2III,14.866507,0
8.89,6.79,0.88,0.288,A5III,18.04935,0
7.73,3.32,0.72,1.4,K2III,15.3356905,0
7.14,6.46,1.04,1.111,K0III,16.191162,0
8.35,3.59,1.04,1.029,G8III,16.125473,0
9.03,-0.22,1.33,0.092,B0.5Ib/II,10.742113,0
7.91,2.88,0.99,-0.016,B8/B9III,15.206963,0
8.15,4.14,1.1,0.956,G8III,16.235,0
7.75,0.04,0.94,-0.053,B5III,5.7602997,0
8.39,1.41,1.12,1.26,G8III,14.136096,0
7.54,2.52,0.87,0.818,G6/G8IV,14.547003,1
8.68,4.96,0.65,0.581,F8IV/V,17.15741,1
7.32,11.28,0.9,0.331,F2V,17.581545,1
8.82,14.94,1.55,0.68,G2III,19.691753,0
6.64,5.44,0.69,0.896,G8III,15.317995,0
7.38,25.5,0.98,0.562,G0V,19.4127,1
8.69,7.2,0.89,0.524,F6V,17.976662,1
8.31,10.11,1.12,0.652,G2V,18.333755,1
8.35,5.79,1.37,1.084,K0III,17.163393,0
7.01,1.09,0.9,1.488,K2/K3IIICN.,12.197132,0
8.55,20.58,1.03,0.65,G2V,20.117226,1
7.97,0.09,0.96,2.21,M2III,7.741212,0
7.0,3.99,0.8,1.032,K0III,15.004865,0
6.92,-0.49,0.72,1.624,K4III,10.37098,0
9.74,4.69,1.58,1.334,K2/K3III:,18.095863,0
7.93,3.61,0.87,0.955,K0III,15.717537,0
4.29,3.62,0.53,1.025,G2II,12.083543,0
7.49,8.16,0.91,0.501,F7IV,17.04845,1
8.54,2.8,1.2,1.221,K1III,15.77579,0
8.7,1.8,1.19,1.53,K3/K4III,14.976362,0
6.13,5.33,0.75,0.024,A1V,14.763637,1
8.29,1.0,0.97,0.01,B9IV,13.29,1
8.34,5.42,1.32,-0.077,B7IV,17.009996,1
7.51,2.97,0.74,0.35,A9IV,14.873782,1
9.74,-0.05,3.01,0.215,B8/B9IV,8.23485,1
9.91,6.2,1.57,0.611,G5V,18.871958,1
10.39,-0.42,1.92,0.412,F3/F5V,13.506247,1
6.76,5.81,0.58,1.129,K2III,15.580881,0
6.46,7.61,0.59,1.083,K1III,15.866923,0
8.23,0.74,1.13,1.612,M3III,12.576159,0
5.51,12.45,0.81,0.987,G8II,15.9858465,0
7.55,4.46,0.97,1.162,K0III,15.796675,0
8.48,2.05,1.23,1.93,K7III,15.038769,0
7.6,3.27,1.05,1.14,K0III,15.172739,0
8.29,5.12,0.82,0.448,F3V,16.83635,1
7.72,1.53,0.85,0.056,A0II,13.643457,0
7.83,3.25,0.98,1.064,K0III,15.389417,0
6.81,24.98,0.87,0.504,F5/F6V,18.797962,1
7.59,2.99,0.64,0.521,B8III,14.968356,0
8.55,0.36,0.87,1.093,G8III,11.331512,0
7.83,2.91,0.97,1.256,K2III,15.149465,0
9.25,3.72,1.06,0.243,A2V,17.102715,1
8.57,2.82,0.88,0.96,G8III,15.821245,0
9.5,4.46,0.8,0.432,F0IV/V,17.746674,1
7.56,2.63,1.09,1.566,K1II/III,14.659779,0
7.84,0.38,0.66,0.691,B1Ia,10.738918,0
7.59,0.43,0.69,0.646,F7Ib-II,10.757342,0
8.86,2.12,0.75,1.137,K0III,15.491679,0
8.48,0.75,1.14,0.181,B9IV,12.855306,1
7.23,5.4,0.71,1.18,K2III,15.891968,0
4.84,8.78,1.39,0.799,G5III,14.557473,0
8.81,12.56,1.87,0.6,F6V,19.304947,1
8.62,7.19,3.07,0.402,F2V,17.903645,1
6.31,8.16,0.74,-0.014,A0V,15.86845,1
4.39,3.38,0.63,1.87,M1III,12.034584,0
7.11,4.5,0.92,0.854,K0/K1III+..,15.376062,0
7.29,5.86,0.6,1.087,K3III:,16.129488,0
6.76,4.03,0.54,-0.073,B5V,14.786526,1
8.29,0.66,0.71,-0.075,B8/B9V,12.38772,1
8.51,9.61,1.44,0.76,G8V,18.423618,1
7.22,2.37,0.73,-0.144,B5III,14.093741,0
8.2,8.46,1.06,0.427,F2V,17.836851,1
8.65,1.59,1.14,1.62,K4V:,14.656985,1
7.73,0.2,0.64,1.315,K2/K3III+..,9.235149,0
7.95,0.48,0.79,0.114,B1III,11.356206,0
8.33,3.39,2.23,0.127,A2/A3V,15.980999,1
8.21,6.32,0.67,0.534,F6IV,17.213585,1
8.14,18.92,1.06,0.712,G8III,19.524607,0
5.76,13.59,0.66,0.114,A2Vn,16.426098,1
8.57,8.9,0.76,0.417,F3V,18.31695,1
9.02,2.64,1.19,1.032,K0III,16.128021,0
7.9,2.77,0.89,1.157,K1III,15.1124,0
8.81,4.05,0.92,1.134,K1III,16.847275,0
5.5,12.48,0.49,0.007,A0V,15.981072,1
8.06,1.78,0.84,1.852,M0III,14.3121,0
9.79,8.9,1.57,0.692,G5IV/V,19.53695,1
5.48,9.37,0.75,0.475,F6II-III,15.338697,0
6.38,14.85,0.73,0.428,F5IV-V,17.238632,1
8.17,0.39,0.81,1.569,M0III,11.125322,0
6.35,5.29,0.78,1.608,K5III,14.967278,0
8.61,6.78,1.09,0.205,A6Vn,17.766148,1
9.28,12.66,0.93,0.511,F6V,19.792168,1
7.51,1.02,0.95,1.684,K5III,12.553001,0
8.1,1.95,1.14,1.25,K2III,14.550174,0
7.94,10.87,1.2,0.415,F2IV,18.12115,1
9.14,1.81,1.26,0.545,F5IV,15.428392,1
7.01,3.36,0.58,-0.067,B8V,14.641697,1
7.1,0.56,0.64,-0.086,B0.5III,10.84094,0
7.82,2.0,0.87,1.376,K7V,14.3251505,1
9.52,6.96,1.53,0.678,G3V,18.733047,1
8.29,13.67,1.71,0.498,F5V,18.968842,1
9.44,6.33,1.55,0.554,F0V,18.447018,1
8.49,2.46,1.38,1.08,G8/K0III +F:,15.444675,0
8.33,1.42,1.41,1.146,K1III+...,14.091442,0
9.14,3.26,1.23,0.413,F5V,16.706089,1
8.69,1.48,2.25,1.019,G8III,14.541308,0
8.58,4.59,1.2,1.021,G8III,16.889065,0
8.58,2.43,1.04,1.591,M2III,15.508032,0
8.43,2.49,1.06,1.319,K2/K3III,15.410997,0
7.77,-0.07,0.89,0.247,B1Vn...,6.99549,1
9.38,63.43,2.16,1.432,K9V...,23.391474,1
7.61,17.16,0.95,0.427,K0III,18.782587,0
7.3,6.03,1.07,1.08,K1III,16.201588,0
7.56,4.28,0.84,0.134,A1IV/V,15.717218,1
5.95,5.92,0.76,1.078,G8III:,14.811608,0
8.25,10.83,0.66,0.605,G1V,18.423141,1
8.39,18.32,0.78,0.576,G0V,19.704628,1
8.58,4.19,1.02,1.031,K0III,16.69107,0
7.63,-0.41,0.94,1.346,K1II,10.693919,0
8.12,2.55,1.12,0.796,F8III,15.1527,0
9.71,7.5,1.39,0.779,G8IV,19.085306,1
6.43,12.71,0.74,0.514,F7.5IV-V,16.950727,1
8.15,1.11,0.97,1.513,M3/M4III,13.376615,0
7.34,13.44,0.6,0.518,F7/F8V,17.981997,1
6.34,5.17,0.91,0.214,A5IIIm...,14.907453,0
9.27,7.57,1.42,0.433,F2V,18.66548,1
5.08,1.96,0.75,0.141,B3II,11.541281,0
8.81,11.61,2.95,0.606,F6V,19.134163,1
9.6,0.41,1.87,0.475,F2V,12.663919,1
3.71,2.43,0.93,-0.179,B2III SB,10.638031,0
7.5,7.98,0.64,0.907,G6III,17.010014,0
7.57,4.91,0.63,1.138,K2III,16.025408,0
3.96,6.14,0.52,1.146,K0III,12.900842,0
7.45,0.1,1.08,1.558,M4III,7.45,0
9.52,15.52,1.61,0.856,K0V,20.474459,1
9.27,8.88,1.65,0.6,G1V,19.012066,1
8.97,1.69,1.44,1.349,K2III,15.109434,0
7.11,12.24,1.09,1.029,K0III,17.548908,0
8.39,2.2,0.86,1.019,G8/K0II/III,15.102114,0
8.01,15.04,0.99,0.56,G1V,18.89624,1
9.53,5.43,1.47,0.518,F8V,18.203999,1
5.79,5.83,0.46,1.595,K5III,14.618343,0
7.25,42.71,4.61,0.71,G5V,20.402647,1
6.19,2.64,0.52,-0.004,B4IV,13.298019,1
6.27,5.17,1.09,-0.094,B9IIIsp...,14.837452,0
7.78,19.46,1.02,0.54,F9V,19.225714,1
3.6,16.59,0.85,0.102,A3III,14.699232,0
8.63,3.15,1.26,0.116,B9V,16.121553,1
8.73,2.12,0.93,1.025,K0III,15.361679,0
7.6,1.69,1.07,1.414,K4III,13.739433,0
7.4,0.39,0.89,0.188,B0IVpe,10.355323,1
8.37,6.59,1.33,1.19,K0III,17.464428,0
8.31,0.82,1.18,1.651,K5/M0III,12.879069,0
8.66,5.07,1.13,0.275,A3II,17.18504,0
8.88,3.52,1.23,0.947,G8/K0III,16.612713,0
9.99,3.82,1.7,0.627,G3V,17.900318,1
7.88,3.84,0.96,0.037,A1V,15.801657,1
8.0,36.16,1.0,0.78,K1V,20.791142,1
8.15,1.46,1.18,1.373,M5III,13.971764,0
6.69,6.95,0.79,0.976,K0III,15.899923,0
8.71,5.11,1.22,0.458,F3IV/V,17.252106,1
